,Name,Intraday,Investing
0,CSCO.csv,-1.7099999999999298,9.670000000000002
1,BAJAJFINSV.NS.csv,-7617.270000000018,787.1400000000003
2,UAL.csv,-85.62999999999997,-33.239999999999995
3,ISRG.csv,228.56999999999846,362.74
4,NTPC.NS.csv,-102.6400000000001,-37.84
5,GILD.csv,-36.67000000000011,-5.650000000000006
6,SHREECEM.NS.csv,-10475.640000000012,705.8400000000001
7,TM.csv,-38.30000000000024,27.269999999999996
8,ULTRACEMCO.NS.csv,-3713.4099999999976,-188.23999999999978
9,V.csv,9.610000000000412,98.08
10,SBIN.NS.csv,-463.55000000000075,-125.44999999999999
11,CHTR.csv,197.79999999999984,228.69
12,ICICIBANK.csv,,51.799987999999985
13,MARUTI.NS.csv,-8160.399999999992,-924.29
14,ADBE.csv,106.39999999999932,332.65
15,ITC.NS.csv,-447.11000000000035,-90.24999999999997
16,PIDILITIND.NS.csv,-569.1600000000008,636.56
17,JSWSTEEL.NS.csv,-91.24000000000044,62.71000000000001
18,PEP.csv,2.2499999999996447,28.670000000000016
19,COST.csv,117.00999999999988,186.51999999999998
20,MDLZ.csv,6.250000000000064,14.869999999999997
21,BKNG.csv,-596.6899999999946,-363.5999999999999
22,TSM.csv,1.1699999999999875,46.379999999999995
23,SBUX.csv,9.680000000000092,32.459999999999994
24,INTU.csv,77.5500000000007,185.36
25,PG.csv,61.00999999999961,54.31
26,COALINDIA.NS.csv,-239.31000000000003,-88.35
27,CAT.csv,2.8200000000000927,41.47
28,MCD.csv,21.959999999999837,73.55000000000001
29,AMZN.csv,-227.88000000000272,2099.2400000000002
30,INTC.csv,16.519999999999868,16.119999999999997
31,TXN.csv,47.440000000000055,63.36999999999999
32,TCS.csv,,1173.030029
33,ADANIPORTS.NS.csv,-403.4999999999997,-78.19999999999999
34,KO.csv,-11.129999999999875,7.759999999999998
35,DABUR.NS.csv,-292.0400000000003,205.75
36,PYPL.csv,36.40000000000032,128.13
37,UPS.csv,23.15000000000009,66.25
38,MSFT.csv,15.419999999999689,139.08999999999997
39,ASIANPAINT.NS.csv,-419.8600000000017,804.52
40,HDFC.csv,,-84.0
41,NVDA.csv,35.2000000000001,352.13000000000005
42,HD.csv,78.05999999999972,129.35000000000002
43,LT.NS.csv,-1783.5100000000027,-219.43000000000006
44,CME.csv,37.04999999999953,54.41
45,CMCSA.csv,2.079999999999991,8.559999999999995
46,SBICARD.NS.csv,-62.450000000000784,812.45
47,DMART.NS.csv,-50.750000000002615,1204.1000000000001
48,BPCL.NS.csv,-373.04999999999984,-29.889999999999986
49,ADANIGREEN.NS.csv,254.45000000000005,647.75
50,HDFCBANK.csv,-760.8991470000035,146.72503700000004
51,FB.csv,84.63000000000008,85.51999999999998
52,TITAN.NS.csv,-393.91999999999655,568.6400000000001
53,DIS.csv,-55.530000000000214,19.159999999999997
54,WIPRO.NS.csv,-103.14000000000007,95.76999999999998
55,BRITANNIA.NS.csv,-2754.35,1866.05
56,BAJFINANCE.NS.csv,-2619.0599999999954,1434.61
57,NFLX.csv,111.87000000000003,302.14
58,GODREJCP.NS.csv,-908.2500000000002,105.17999999999995
59,ABT.csv,12.929999999999914,56.71
60,TSLA.csv,117.1199999999996,342.15999999999997
61,IOC.NS.csv,-295.14999999999964,-81.41
62,M&M.NS.csv,-936.3499999999992,-96.89999999999998
63,HDFCLIFE.NS.csv,-138.00999999999965,578.0
64,HCLTECH.NS.csv,-116.99999999999761,401.90000000000003
65,CIPLA.NS.csv,-899.3700000000002,209.91999999999996
66,HINDZINC.NS.csv,-286.23999999999984,-9.180000000000007
67,DIVISLAB.NS.csv,564.5600000000018,2406.42
68,KOTAKBANK.NS.csv,-392.6899999999989,242.15999999999997
69,HEROMOTOCO.NS.csv,-4137.779999999992,-375.3499999999999
70,GOOG.csv,712.3300000000008,514.57
71,AVGO.csv,20.329999999999785,131.28
72,VZ.csv,4.039999999999921,17.14
73,AMGN.csv,94.45000000000036,84.84
74,ONGC.NS.csv,-272.41999999999956,-71.97000000000001
75,ADP.csv,27.709999999999923,27.159999999999997
76,HINDUNILVR.csv,-385.40136699999994,903.25
77,DRREDDY.NS.csv,-889.3600000000047,2815.09
78,ICICIPRULI.NS.csv,-241.1400000000005,-21.49000000000001
79,BHARTIARTL.NS.csv,,60.079999999999984
80,QCOM.csv,29.02000000000003,67.13
81,BAJAJ-AUTO.NS.csv,-2505.630000000008,390.1300000000001
82,INFY.csv,117.57375199999893,509.924988
83,BABA.csv,-84.6800000000004,119.17999999999998
84,NESTLEIND.NS.csv,-7566.8800000000065,9380.970000000001
85,UNH.csv,-1.0899999999998613,118.91999999999999
86,FISV.csv,13.259999999999756,40.13999999999999
87,SUNPHARMA.NS.csv,-731.6899999999998,-21.180000000000007
88,MA.csv,38.18000000000035,203.33999999999997
89,TECHM.NS.csv,-95.25000000000085,397.89000000000004
90,AAPL.csv,37.239999999999895,74.69
91,TMUS.csv,17.780000000000072,48.38999999999999
92,WMT.csv,30.15999999999984,62.420000000000016
93,SBILIFE.NS.csv,-84.33999999999816,795.45
94,MU.csv,-15.500000000000046,20.51
95,JNJ.csv,-18.469999999999942,24.5
96,POWERGRID.NS.csv,-137.04000000000002,-31.360000000000014
97,CRM.csv,51.8900000000002,152.85000000000002
98,AXISBANK.NS.csv,-679.3499999999997,-103.00999999999999
99,RIL.csv,-550.0392930000023,1384.250122
